R = 12.5
number	x	y	z
0	-15.2	9.0	-15.6
1	-18.8	4.3	-9.7
2	-4.2	14.0	-17.4
3	-14.5	-14.7	9.5
4	2.5	0.3	-13.5
5	-11.5	11.1	-11.5
6	-19.5	-2.8	7.2
7	-13.7	-1.4	-9.0
8	3.5	16.4	6.3
9	7.3	0.8	8.9
10	4.2	-8.6	19.6
11	-2.1	-15.5	-5.9
12	12.0	-4.8	-17.4
13	-13.4	-13.1	-14.6
14	-14.8	14.3	6.6
15	-8.3	4.1	5.2
16	-2.0	-5.5	4.3
17	5.3	-7.8	0.2
18	8.6	6.7	-8.6
19	12.5	10.3	8.4
20	12.7	11.6	17.0
21	-3.6	8.6	-5.0
22	-0.5	6.8	8.0
23	2.1	-7.6	2.1
24	14.6	6.6	19.8
25	1.3	-17.5	10.0
26	14.4	3.2	14.0
27	11.3	14.8	13.8
28	2.9	-4.4	11.9
29	3.7	-14.4	16.6
30	8.2	-1.4	19.2
31	4.3	-14.0	15.2
32	18.0	14.5	-1.2
33	6.1	-9.6	-8.9
